,epoches,t_loss,t_acc,v_loss,v_acc
0,1.0,0.7530479627415774,0.6642177920810822,0.4696972013584205,0.817516764885186
1,2.0,0.4846183395643353,0.8105313742336648,0.38674678266435475,0.8510465352570615
2,3.0,0.4236847553193875,0.837362205297724,0.36865531549147973,0.8591749644381224
3,4.0,0.3936397655687372,0.8509996941940557,0.3440359833517245,0.8680146311725259
4,5.0,0.3636538570613113,0.8632828996228393,0.3424469672578883,0.8731965047754522
5,6.0,0.34336949246766296,0.8709426104177892,0.34817851943193706,0.8698435277382646
6,7.0,0.30544087135572356,0.8864950270128584,0.32368280439843217,0.8826458036984353
7,8.0,0.2871157031980207,0.8939363049904617,0.32797643856762293,0.8842714895346474
8,9.0,0.2716504364245799,0.9003145432569789,0.3242612046903217,0.8862019914651493
9,10.0,0.25671580815227757,0.9063578512035648,0.33082484037845167,0.8862019914651493
10,11.0,0.23384638428983157,0.9149932285826623,0.3362181295290009,0.8879292826661248
11,12.0,0.22380040146806254,0.9191361710183338,0.3455672193463747,0.8850843324527535
12,13.0,0.2098063308492178,0.924400401916384,0.34936807069975834,0.8846779109937005
13,14.0,0.19948080432612555,0.9282666627834166,0.36334632631004243,0.8853891485470433
